starting_condition, probability, yellow_lifeforce, blue_lifeforce, purple_lifeforce
YYYYYY, 0.00016629681, 221.77, 0.00, 0.00
YYYYBB, 0.0011808058, 2232.93, 73.92, 0.00
YYYYPP, 0.00035719379, 2232.93, 0.00, 73.92
YYYYYB, 0.0015350474, 249.64, 2681.66, 0.00
YYYYYP, 0.00084427616, 249.64, 0.00, 2681.66
YYYYBP, 0.0012988865, 147.85, 2681.66, 2400.66
YYBBBB, 0.0027948068, 4203.24, 147.85, 0.00
YYBBPP, 0.0016908583, 4203.24, 1116.47, 73.92
YYBBYB, 0.0072664972, 3948.72, 120.13, 0.00
YYBBYP, 0.003996574, 3948.72, 73.92, 697.79
YYBBBP, 0.006148575, 4203.24, 120.13, 1076.92
YYPPPP, 0.0002557423, 4203.24, 0.00, 147.85
YYPPYB, 0.0021981155, 3948.72, 697.79, 73.92
YYPPYP, 0.0012089636, 3948.72, 0.00, 120.13
YYPPBP, 0.0018599441, 4203.24, 1076.92, 120.13
YYYBYB, 0.004723223, 2906.75, 92.41, 0.00
YYYBYP, 0.0051955455, 2906.75, 187.29, 46.20
YYYBBP, 0.007993147, 3948.72, 92.41, 622.88
YYYPYP, 0.0014287751, 2906.75, 0.00, 92.41
YYYPBP, 0.0043962314, 3948.72, 622.88, 92.41
YYBPBP, 0.0033817166, 4203.24, 1245.75, 92.41
BBBBBB, 0.0022049758, 0.00, 221.77, 0.00
BBBBPP, 0.0020010157, 0.00, 147.85, 4203.24
BBBBYB, 0.008599406, 2681.66, 249.64, 0.00
BBBBYP, 0.0047296733, 2681.66, 147.85, 2400.66
BBBBBP, 0.007276421, 0.00, 249.64, 2681.66
BBPPPP, 0.0006053073, 0.00, 4203.24, 147.85
BBPPYB, 0.005202641, 2455.30, 120.13, 2871.80
BBPPYP, 0.0028614525, 2455.30, 2871.80, 120.13
BBPPBP, 0.004402235, 0.00, 3948.72, 120.13
BBYBYB, 0.011179226, 3827.11, 182.21, 0.00
BBYBYP, 0.01229715, 3827.11, 120.13, 1785.91
BBYBBP, 0.018918693, 2672.71, 389.81, 1379.62
BBYPYP, 0.0033817166, 3818.15, 1661.00, 92.41
BBYPBP, 0.010405282, 2681.66, 120.13, 2931.36
BBBPBP, 0.008004063, 0.00, 182.21, 3827.11
PPPPPP, 0.000061035156, 0.00, 0.00, 221.77
PPPPYB, 0.0007868995, 2681.66, 2400.66, 147.85
PPPPYP, 0.00043279474, 2681.66, 0.00, 249.64
PPPPBP, 0.000665838, 0.00, 2681.66, 249.64
PPYBYB, 0.003381716, 3827.11, 1477.54, 73.92
PPYBYP, 0.0037198882, 3827.11, 1785.91, 120.13
PPYBBP, 0.0057229046, 2681.66, 2931.36, 120.13
PPYPYP, 0.0010229693, 3827.11, 0.00, 182.21
PPYPBP, 0.003147598, 2672.71, 1379.62, 389.81
PPBPBP, 0.0024212291, 0.00, 3827.11, 182.21
YBYBYB, 0.004844331, 4138.87, 138.61, 0.00
YBYBYP, 0.007993147, 4138.87, 92.41, 1038.13
YBYBBP, 0.012297149, 3818.15, 138.61, 1379.62
YBYPYP, 0.004396231, 4138.87, 1038.13, 92.41
YBYPBP, 0.013526866, 3827.11, 1742.96, 92.41
YBBPBP, 0.010405282, 2681.66, 2570.73, 92.41
YPYPYP, 0.00080597575, 4138.87, 0.00, 138.61
YPYPBP, 0.0037198882, 3818.15, 1379.62, 138.61
YPBPBP, 0.005722905, 2455.30, 2759.24, 138.61
BPBPBP, 0.002934823, 0.00, 4138.87, 138.61
